NIDS LOG INITIALIZED
==================================================
[2026-03-06 20:44:23] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.183 -> DST: 10.0.0.3 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:45:43] PROTOCOL: TCP | LAYER: Transport | SRC: 113.1.120.161 -> DST: 10.0.0.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:45] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.140 -> DST: 10.0.0.41 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:45:46] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.190 -> DST: 10.0.0.4 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:45:48] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.136 -> DST: 10.0.0.33 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:45:49] PROTOCOL: UDP | LAYER: Transport | SRC: 111.205.16.38 -> DST: 10.0.0.37 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:51] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.177 -> DST: 10.0.0.40 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:45:52] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.106 -> DST: 10.0.0.19 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:45:54] PROTOCOL: TCP | LAYER: Transport | SRC: 223.163.166.228 -> DST: 10.0.0.47 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:56] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.192 -> DST: 10.0.0.44 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:45:57] PROTOCOL: TCP | LAYER: Transport | SRC: 137.152.201.224 -> DST: 10.0.0.40 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:45:59] PROTOCOL: UDP | LAYER: Transport | SRC: 48.203.36.78 -> DST: 10.0.0.11 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:00] PROTOCOL: HTTPS | LAYER: Application | SRC: 237.218.241.138 -> DST: 10.0.0.17 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:02] PROTOCOL: HTTP | LAYER: Application | SRC: 82.246.57.232 -> DST: 10.0.0.21 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:03] PROTOCOL: ICMP | LAYER: Network | SRC: 211.147.51.39 -> DST: 10.0.0.46 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:05] PROTOCOL: ICMP | LAYER: Network | SRC: 136.17.65.151 -> DST: 10.0.0.38 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:06] PROTOCOL: TCP | LAYER: Transport | SRC: 170.181.75.118 -> DST: 10.0.0.30 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:08] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.170 -> DST: 10.0.0.18 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:46:09] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.146 -> DST: 10.0.0.37 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:46:11] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.125 -> DST: 10.0.0.19 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:46:12] PROTOCOL: HTTPS | LAYER: Application | SRC: 187.173.226.24 -> DST: 10.0.0.15 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:14] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.105 -> DST: 10.0.0.25 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:46:15] PROTOCOL: UDP | LAYER: Transport | SRC: 75.167.221.168 -> DST: 10.0.0.33 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:17] PROTOCOL: ICMP | LAYER: Network | SRC: 41.186.217.93 -> DST: 10.0.0.42 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:18] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.128 -> DST: 10.0.0.14 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:46:20] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.118 -> DST: 10.0.0.36 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:46:21] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.189 -> DST: 10.0.0.49 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:46:23] PROTOCOL: UDP | LAYER: Transport | SRC: 50.11.193.154 -> DST: 10.0.0.45 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:24] PROTOCOL: TCP | LAYER: Transport | SRC: 79.143.227.232 -> DST: 10.0.0.4 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:26] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.114 -> DST: 10.0.0.49 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:46:27] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.175 -> DST: 10.0.0.7 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:46:29] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.120 -> DST: 10.0.0.2 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:46:30] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.141 -> DST: 10.0.0.38 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:46:32] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.111 -> DST: 10.0.0.10 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:46:33] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.156 -> DST: 10.0.0.44 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:46:35] PROTOCOL: UDP | LAYER: Transport | SRC: 137.56.1.79 -> DST: 10.0.0.23 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:36] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.200 -> DST: 10.0.0.38 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:46:38] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.102 -> DST: 10.0.0.38 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:46:39] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.109 -> DST: 10.0.0.13 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:46:41] PROTOCOL: TCP | LAYER: Transport | SRC: 21.110.50.207 -> DST: 10.0.0.12 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:42] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.128 -> DST: 10.0.0.36 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:46:44] PROTOCOL: ICMP | LAYER: Network | SRC: 140.174.219.254 -> DST: 10.0.0.37 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:45] PROTOCOL: HTTP | LAYER: Application | SRC: 115.156.215.86 -> DST: 10.0.0.45 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:47] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.152 -> DST: 10.0.0.18 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:46:48] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.149 -> DST: 10.0.0.46 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:46:50] PROTOCOL: HTTP | LAYER: Application | SRC: 144.134.106.109 -> DST: 10.0.0.43 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:51] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.134 -> DST: 10.0.0.9 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:46:53] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.132 -> DST: 10.0.0.25 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:46:54] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.184 -> DST: 10.0.0.28 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:46:56] PROTOCOL: HTTP | LAYER: Application | SRC: 139.69.111.191 -> DST: 10.0.0.39 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:46:57] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.146 -> DST: 10.0.0.18 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:46:59] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.114 -> DST: 10.0.0.31 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:00] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.153 -> DST: 10.0.0.50 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:47:02] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.175 -> DST: 10.0.0.18 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:03] PROTOCOL: HTTPS | LAYER: Application | SRC: 62.58.81.157 -> DST: 10.0.0.8 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:05] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.131 -> DST: 10.0.0.14 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:47:06] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.132 -> DST: 10.0.0.21 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:47:08] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.125 -> DST: 10.0.0.29 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:10] PROTOCOL: ICMP | LAYER: Network | SRC: 1.12.240.204 -> DST: 10.0.0.18 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:11] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.159 -> DST: 10.0.0.35 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:47:13] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.127 -> DST: 10.0.0.41 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:47:14] PROTOCOL: ICMP | LAYER: Network | SRC: 155.100.246.146 -> DST: 10.0.0.4 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:16] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.186 -> DST: 10.0.0.50 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:17] PROTOCOL: UDP | LAYER: Transport | SRC: 158.207.78.22 -> DST: 10.0.0.14 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:19] PROTOCOL: UDP | LAYER: Transport | SRC: 37.29.118.196 -> DST: 10.0.0.3 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:20] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.109 -> DST: 10.0.0.12 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:47:22] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.199 -> DST: 10.0.0.17 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:23] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.190 -> DST: 10.0.0.14 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:47:25] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.100 -> DST: 10.0.0.43 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:47:26] PROTOCOL: HTTPS | LAYER: Application | SRC: 12.106.75.179 -> DST: 10.0.0.32 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:28] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.151 -> DST: 10.0.0.37 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:29] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.166 -> DST: 10.0.0.46 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:31] PROTOCOL: UDP | LAYER: Transport | SRC: 95.194.191.132 -> DST: 10.0.0.37 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:32] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.169 -> DST: 10.0.0.26 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:47:34] PROTOCOL: TCP | LAYER: Transport | SRC: 67.249.250.150 -> DST: 10.0.0.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:35] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.163 -> DST: 10.0.0.1 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:37] PROTOCOL: HTTP | LAYER: Application | SRC: 218.4.223.171 -> DST: 10.0.0.14 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:38] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.176 -> DST: 10.0.0.20 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:40] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.104 -> DST: 10.0.0.43 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:41] PROTOCOL: UDP | LAYER: Transport | SRC: 241.182.104.129 -> DST: 10.0.0.32 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:43] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.127 -> DST: 10.0.0.32 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:44] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.173 -> DST: 10.0.0.36 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:46] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.200 -> DST: 10.0.0.45 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:47] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.146 -> DST: 10.0.0.31 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:49] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.148 -> DST: 10.0.0.1 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:47:50] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.166 -> DST: 10.0.0.11 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:47:52] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.135 -> DST: 10.0.0.26 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:53] PROTOCOL: HTTP | LAYER: Application | SRC: 119.119.6.119 -> DST: 10.0.0.43 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:55] PROTOCOL: TCP | LAYER: Transport | SRC: 109.102.219.137 -> DST: 10.0.0.17 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:47:56] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.165 -> DST: 10.0.0.10 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:58] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.163 -> DST: 10.0.0.10 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:47:59] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.179 -> DST: 10.0.0.21 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:48:01] PROTOCOL: ICMP | LAYER: Network | SRC: 52.155.109.33 -> DST: 10.0.0.22 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:48:02] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.115 -> DST: 10.0.0.11 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:48:04] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.164 -> DST: 10.0.0.8 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:48:05] PROTOCOL: HTTPS | LAYER: Application | SRC: 137.254.10.10 -> DST: 10.0.0.10 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:48:07] PROTOCOL: HTTPS | LAYER: Application | SRC: 118.2.125.237 -> DST: 10.0.0.45 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:48:08] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.115 -> DST: 10.0.0.49 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:10] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.140 -> DST: 10.0.0.33 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:11] PROTOCOL: ICMP | LAYER: Network | SRC: 84.65.181.122 -> DST: 10.0.0.32 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:48:13] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.155 -> DST: 10.0.0.30 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:14] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.139 -> DST: 10.0.0.16 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:16] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.158 -> DST: 10.0.0.32 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:48:18] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.106 -> DST: 10.0.0.23 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:48:19] PROTOCOL: HTTPS | LAYER: Application | SRC: 221.11.80.140 -> DST: 10.0.0.44 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:48:21] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.165 -> DST: 10.0.0.47 | ATTACK: Port Scan | MALICIOUS: True
[2026-03-06 20:48:22] PROTOCOL: ICMP | LAYER: Network | SRC: 103.31.82.43 -> DST: 10.0.0.37 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:48:24] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.160 -> DST: 10.0.0.34 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:25] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.114 -> DST: 10.0.0.5 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:48:27] PROTOCOL: UDP | LAYER: Transport | SRC: 192.168.1.170 -> DST: 10.0.0.10 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:28] PROTOCOL: HTTPS | LAYER: Application | SRC: 105.214.136.147 -> DST: 10.0.0.27 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:48:30] PROTOCOL: ICMP | LAYER: Network | SRC: 192.168.1.163 -> DST: 10.0.0.33 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:31] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.165 -> DST: 10.0.0.11 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:33] PROTOCOL: UDP | LAYER: Transport | SRC: 107.123.204.50 -> DST: 10.0.0.41 | ATTACK: Normal | MALICIOUS: False
[2026-03-06 20:48:34] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.162 -> DST: 10.0.0.42 | ATTACK: DoS | MALICIOUS: True
[2026-03-06 20:48:36] PROTOCOL: TCP | LAYER: Transport | SRC: 192.168.1.112 -> DST: 10.0.0.16 | ATTACK: SQL Injection | MALICIOUS: True
[2026-03-06 20:48:37] PROTOCOL: HTTPS | LAYER: Application | SRC: 192.168.1.111 -> DST: 10.0.0.18 | ATTACK: Malware Traffic | MALICIOUS: True
[2026-03-06 20:48:39] PROTOCOL: HTTP | LAYER: Application | SRC: 192.168.1.130 -> DST: 10.0.0.1 | ATTACK: DoS | MALICIOUS: True
