SUDO HEX LOG - ANALYSIS SESSION STARTED
Session Start: 2026-03-07 18:03:45
==================================================
[2026-03-07 18:03:45] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 103.35.160.99 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:05:02] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 185.194.233.125 -> DST: 192.168.1.18 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:05:06] PROTOCOL: UDP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 45.188.207.175 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-07 18:05:10] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 212.31.163.49 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-07 18:05:14] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.111 -> DST: 192.168.1.9 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:05:18] PROTOCOL: TCP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 212.139.107.146 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-07 18:05:22] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 77.182.88.207 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:05:26] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 91.54.248.204 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:05:30] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 103.244.172.103 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:05:34] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 185.153.98.32 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:05:38] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 185.93.119.53 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:05:42] PROTOCOL: ICMP | OSI: Layer 6 - Presentation | LAYER: Network | SRC: 103.240.235.221 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-07 18:05:46] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 212.20.250.166 -> DST: 192.168.1.13 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:05:50] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.234 -> DST: 192.168.1.12 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:05:54] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.164 -> DST: 192.168.1.15 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:05:58] PROTOCOL: HTTP | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 77.221.241.35 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-07 18:16:54] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.249 -> DST: 192.168.1.15 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:16:58] PROTOCOL: ICMP | OSI: Layer 6 - Presentation | LAYER: Network | SRC: 77.193.232.244 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-07 18:17:02] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 212.47.226.32 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:17:06] PROTOCOL: TCP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 103.147.244.244 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-07 18:17:10] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 45.224.244.170 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:17:14] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 212.155.236.105 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:17:18] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 212.68.116.95 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:17:22] PROTOCOL: UDP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 91.196.13.135 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-07 18:17:26] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 212.48.139.82 -> DST: 192.168.1.16 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:17:35] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.237 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:17:39] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.57 -> DST: 192.168.1.8 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:17:43] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.139 -> DST: 192.168.1.20 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:26:10] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.83 -> DST: 192.168.1.15 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:26:14] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 45.86.225.50 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:26:18] PROTOCOL: HTTP | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 185.45.156.243 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-07 18:26:22] PROTOCOL: HTTPS | OSI: Layer 4 - Transport | LAYER: Application | SRC: 45.110.31.109 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-07 18:26:37] PROTOCOL: TCP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 212.102.219.254 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-07 18:26:41] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 45.209.20.118 -> DST: 192.168.1.20 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:26:45] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 45.31.105.118 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:26:49] PROTOCOL: HTTPS | OSI: Layer 5 - Session | LAYER: Application | SRC: 185.62.149.242 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-07 18:26:53] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 77.152.228.250 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-07 18:26:57] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 103.29.33.67 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:27:01] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 77.93.244.85 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-07 18:27:05] PROTOCOL: HTTP | OSI: Layer 4 - Transport | LAYER: Application | SRC: 91.71.177.143 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-07 18:27:09] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 142.21.91.230 -> DST: 192.168.1.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:27:13] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 185.79.198.145 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:27:17] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 142.100.177.229 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:27:21] PROTOCOL: UDP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 212.21.191.117 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-07 18:27:25] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 77.28.244.167 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:27:29] PROTOCOL: HTTP | OSI: Layer 4 - Transport | LAYER: Application | SRC: 185.76.156.131 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-07 18:27:33] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.99 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:28:54] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 77.120.123.217 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-07 18:28:58] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.2 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:29:02] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 212.159.255.58 -> DST: 192.168.1.11 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:29:11] PROTOCOL: ICMP | OSI: Layer 4 - Transport | LAYER: Network | SRC: 91.60.72.244 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-07 18:29:16] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.15 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:29:20] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 142.29.251.50 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:29:24] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.141 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:29:28] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 103.79.134.242 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-07 18:29:32] PROTOCOL: UDP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 212.226.151.18 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-07 18:29:36] PROTOCOL: UDP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 91.196.5.96 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-07 18:29:40] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 77.178.85.84 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-07 18:29:44] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.112 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:47:49] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 185.112.95.115 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:47:53] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 103.175.92.20 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:47:57] PROTOCOL: HTTP | OSI: Layer 4 - Transport | LAYER: Application | SRC: 45.67.166.4 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:48:01] PROTOCOL: HTTPS | OSI: Layer 5 - Session | LAYER: Application | SRC: 103.193.227.145 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:48:05] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.189 -> DST: 192.168.1.12 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:48:09] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.199 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:48:13] PROTOCOL: TCP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 185.143.65.189 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:48:17] PROTOCOL: TCP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 185.220.114.112 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:48:21] PROTOCOL: TCP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 45.153.110.125 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:48:25] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 91.102.226.35 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:48:29] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.86 -> DST: 192.168.1.10 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:48:33] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 142.37.70.72 -> DST: 192.168.1.1 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:48:37] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 45.23.66.125 -> DST: 192.168.1.17 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:48:41] PROTOCOL: HTTPS | OSI: Layer 4 - Transport | LAYER: Application | SRC: 91.238.170.244 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:48:45] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 77.26.81.18 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:48:49] PROTOCOL: UDP | OSI: Layer 5 - Session | LAYER: Transport | SRC: 77.229.209.61 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:48:53] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 77.75.204.191 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:48:57] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 212.107.128.143 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:49:01] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.159 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:49:05] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.154 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:49:09] PROTOCOL: ICMP | OSI: Layer 7 - Application | LAYER: Network | SRC: 185.237.119.11 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:49:13] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.177 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:49:17] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.150 -> DST: 192.168.1.8 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:49:21] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 212.146.3.122 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:49:25] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 77.40.192.99 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:49:29] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 192.168.1.126 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:49:33] PROTOCOL: HTTPS | OSI: Layer 6 - Presentation | LAYER: Application | SRC: 91.111.250.64 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:49:37] PROTOCOL: TCP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 91.142.155.27 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:49:41] PROTOCOL: UDP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 103.39.202.134 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:49:45] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 142.107.120.124 -> DST: 192.168.1.3 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:49:49] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 185.228.9.57 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:49:53] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 212.33.128.212 -> DST: 192.168.1.17 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:49:57] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.139 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:50:01] PROTOCOL: TCP | OSI: Layer 6 - Presentation | LAYER: Transport | SRC: 91.154.201.23 -> DST: 192.168.1.7 | ATTACK: Exploit (Remote Code Execution) | MALICIOUS: True
[2026-03-08 00:50:05] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 185.74.249.150 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:50:09] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.194 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:50:13] PROTOCOL: UDP | OSI: Layer 4 - Transport | LAYER: Transport | SRC: 185.228.131.168 -> DST: 192.168.1.7 | ATTACK: DDoS Attack (TCP-SYN Flood) | MALICIOUS: True
[2026-03-08 00:50:17] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.250 -> DST: 192.168.1.13 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:50:21] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 142.192.167.194 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:50:25] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 185.75.66.59 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:50:29] PROTOCOL: UDP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.164 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:50:33] PROTOCOL: HTTP | OSI: Layer 3 - Network | LAYER: Application | SRC: 142.215.16.54 -> DST: 192.168.1.19 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:50:37] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.233 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:50:41] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 77.162.185.181 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:50:45] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 77.82.37.134 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:50:49] PROTOCOL: ICMP | OSI: Layer 5 - Session | LAYER: Network | SRC: 185.143.141.126 -> DST: 192.168.1.7 | ATTACK: Backdoor (C2 Trojan Call) | MALICIOUS: True
[2026-03-08 00:50:53] PROTOCOL: TCP | OSI: Layer 3 - Network | LAYER: Transport | SRC: 192.168.1.33 -> DST: 192.168.1.5 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:50:57] PROTOCOL: HTTPS | OSI: Layer 7 - Application | LAYER: Application | SRC: 77.152.215.7 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:51:02] PROTOCOL: UDP | OSI: Layer 7 - Application | LAYER: Transport | SRC: 45.188.244.17 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:51:06] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.60 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:51:10] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 103.52.89.145 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:51:14] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 212.25.123.23 -> DST: 192.168.1.7 | ATTACK: Web Attack (XSS Injection) | MALICIOUS: True
[2026-03-08 00:51:18] PROTOCOL: HTTP | OSI: Layer 7 - Application | LAYER: Application | SRC: 212.137.34.24 -> DST: 192.168.1.7 | ATTACK: Brute Force (RDP/SSH) | MALICIOUS: True
[2026-03-08 00:51:22] PROTOCOL: HTTPS | OSI: Layer 3 - Network | LAYER: Application | SRC: 192.168.1.13 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
[2026-03-08 00:51:26] PROTOCOL: ICMP | OSI: Layer 3 - Network | LAYER: Network | SRC: 142.165.174.9 -> DST: 192.168.1.7 | ATTACK: Normal | MALICIOUS: False
